parameter_name,"Hot, Cold (spinup) or Remove",notes,where_pydantic,where_precheck,prechecked,pydanted,
bldgs.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bldgs.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bldgs.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bldgs.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bldgs.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bldgs.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bldgs.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
bldgs.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
bldgs.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
bldgs.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
bsoil.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bsoil.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bsoil.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bsoil.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bsoil.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bsoil.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
bsoil.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
bsoil.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
bsoil.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
bsoil.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
dectr.alb_id,Cold,"InitialStateVeg (state.py, 321); InitialStateEvetr (state.py, 430); InitialStateDectr (state.py, 470); InitialStateGrass (state.py, 555)",No precheck validation found,0,1,,
dectr.decidcap_id,Cold,"InitialStateDectr (state.py, 470)",No precheck validation found,0,1,,
dectr.gdd_id,Cold,4,"VegetationParams (site.py, 37); InitialStateVeg (state.py, 321)",No precheck validation found,0,1,
dectr.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
dectr.lai_id,Cold,"InitialStateVeg (state.py, 321)","precheck_site_season_adjustments (precheck.py, 557)",1,1,,
dectr.porosity_id,Cold,"VegetationParams (site.py, 37); InitialStateDectr (state.py, 470)",No precheck validation found,0,1,,
dectr.sdd_id,Cold,4,"VegetationParams (site.py, 37); InitialStateVeg (state.py, 321)",No precheck validation found,0,1,
dectr.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
dectr.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
dectr.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
dectr.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
dectr.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
dectr.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
dectr.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
dectr.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
dectr.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
dectr.wu.wu_auto,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
dectr.wu.wu_manual,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
dectr.wu.wu_total,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
dqndt,Cold,"InitialStates (state.py, 761)",No precheck validation found,0,1,,
dqnsdt,Cold,"2,3","InitialStates (state.py, 761)",No precheck validation found,0,1,
dt_since_start,Hot,"InitialStates (state.py, 761)",No precheck validation found,0,1,,
evetr.alb_id,Cold,"InitialStateVeg (state.py, 321); InitialStateEvetr (state.py, 430); InitialStateDectr (state.py, 470); InitialStateGrass (state.py, 555)",No precheck validation found,0,1,,
evetr.gdd_id,Cold,4,"VegetationParams (site.py, 37); InitialStateVeg (state.py, 321)",No precheck validation found,0,1,
evetr.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
evetr.lai_id,Cold,"InitialStateVeg (state.py, 321)","precheck_site_season_adjustments (precheck.py, 557)",1,1,,
evetr.sdd_id,Cold,4,"VegetationParams (site.py, 37); InitialStateVeg (state.py, 321)",No precheck validation found,0,1,
evetr.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
evetr.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
evetr.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
evetr.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
evetr.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
evetr.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
evetr.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
evetr.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
evetr.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
evetr.wu.wu_auto,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
evetr.wu.wu_manual,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
evetr.wu.wu_total,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
grass.alb_id,Cold,"InitialStateVeg (state.py, 321); InitialStateEvetr (state.py, 430); InitialStateDectr (state.py, 470); InitialStateGrass (state.py, 555)",No precheck validation found,0,1,,
grass.gdd_id,Cold,4,"VegetationParams (site.py, 37); InitialStateVeg (state.py, 321)",No precheck validation found,0,1,
grass.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
grass.lai_id,Cold,"InitialStateVeg (state.py, 321)","precheck_site_season_adjustments (precheck.py, 557)",1,1,,
grass.sdd_id,Cold,4,"VegetationParams (site.py, 37); InitialStateVeg (state.py, 321)",No precheck validation found,0,1,
grass.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
grass.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
grass.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
grass.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
grass.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
grass.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
grass.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
grass.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
grass.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
grass.wu.wu_auto,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
grass.wu.wu_manual,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
grass.wu.wu_total,Remove,"WaterUse (state.py, 249)",No precheck validation found,0,1,,
hdd_id,Cold,"InitialStates (state.py, 761)",No precheck validation found,0,1,,
lenday_id,Cold,"InitialStates (state.py, 761)",No precheck validation found,0,1,,
paved.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
paved.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
paved.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
paved.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
paved.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
paved.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
paved.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
paved.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
paved.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
paved.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
qn_av,Cold,,"InitialStates (state.py, 761)",No precheck validation found,0,1,
qn_s_av,Cold,"2,3","InitialStates (state.py, 761)",No precheck validation found,0,1,
roofs,-,"SUEWSConfig (core.py, 94); validate_building_layers (core.py, 1569); VerticalLayers (surface.py, 976); InitialStates (state.py, 761)",No precheck validation found,0,1,,
snowalb,Cold,"2,3","validate_snow_parameters (core.py, 372); SnowAlb (site.py, 2481); InitialStates (state.py, 761)","precheck_site_season_adjustments (precheck.py, 557)",1,1,
snowfallcum,Cold,"2,3","InitialStates (state.py, 761)",No precheck validation found,0,1,
tair_av,Cold,,1,"InitialStates (state.py, 761)",No precheck validation found,0,1
tmax_id,Cold,,1,"InitialStates (state.py, 761)",No precheck validation found,0,1
tmin_id,Cold,,1,"InitialStates (state.py, 761)",No precheck validation found,0,1
tstep_prev,Hot,"InitialStates (state.py, 761)",No precheck validation found,0,1,,
walls,-,"SUEWSConfig (core.py, 94); _validate_storage (core.py, 1166); validate_building_layers (core.py, 1569); VerticalLayers (surface.py, 976); InitialStates (state.py, 761)",No precheck validation found,0,1,,
water.icefrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
water.snowdens,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
water.snowfrac,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
water.snowpack,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
water.snowwater,Cold,"2,3","SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
water.soilstore,Cold,10,"WaterDistribution (hydro.py, 8); SurfaceInitialState (state.py, 15)",No precheck validation found,0,1,
water.state,Cold,10,No Pydantic usage found,No precheck validation found,0,0,
water.temperature,Cold,1,"RefValue (type.py, 33); SurfaceInitialState (state.py, 15); validate_temperature (state.py, 82)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
water.tin,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
water.tsfc,Cold,1,"SurfaceInitialState (state.py, 15)","precheck_update_surface_temperature (precheck.py, 677)",1,1,
